Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
abcDOM.SYBR.NOV.15.Plate.I,Experiment,Samples,A1,Default,Global,All Events,Global,Global,"12,344","100.000000%","100.000000%","0.000000","0.000000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,"251.918367"
abcDOM.SYBR.NOV.15.Plate.I,Experiment,Samples,A1,Default,SSC-H vs BL1-H,SYBR Polygon,SSC-H,BL1-H,"8,197","66.404731%","66.404731%","1,940.645020","161,123.671875",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,"167.285714"
abcDOM.SYBR.NOV.15.Plate.I,Experiment,Samples,A1,Default,VL3-H vs BL1-H,Syn+PicoEuks?,VL3-H,BL1-H,"20","0.162022%","0.162022%","6,473.899902","59,820.601563",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,"0.408163"
abcDOM.SYBR.NOV.15.Plate.I,Experiment,Samples,A2,Default,Global,All Events,Global,Global,"10,951","100.000000%","100.000000%","0.000000","0.000000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,"223.489796"
abcDOM.SYBR.NOV.15.Plate.I,Experiment,Samples,A2,Default,SSC-H vs BL1-H,SYBR Polygon,SSC-H,BL1-H,"7,992","72.979637%","72.979637%","1,893.731567","169,688.046875",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,"163.102041"
abcDOM.SYBR.NOV.15.Plate.I,Experiment,Samples,A2,Default,VL3-H vs BL1-H,Syn+PicoEuks?,VL3-H,BL1-H,"7","0.063921%","0.063921%","6,787.714355","68,385.000000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,"0.142857"
abcDOM.SYBR.NOV.15.Plate.I,Experiment,Samples,A3,Default,Global,All Events,Global,Global,"13,291","100.000000%","100.000000%","0.000000","0.000000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,"271.244898"
abcDOM.SYBR.NOV.15.Plate.I,Experiment,Samples,A3,Default,SSC-H vs BL1-H,SYBR Polygon,SSC-H,BL1-H,"8,568","64.464675%","64.464675%","1,938.186646","147,833.734375",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,"174.857143"
abcDOM.SYBR.NOV.15.Plate.I,Experiment,Samples,A3,Default,VL3-H vs BL1-H,Syn+PicoEuks?,VL3-H,BL1-H,"21","0.158002%","0.158002%","9,485.857422","76,623.664063",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,"0.428571"
abcDOM.SYBR.NOV.15.Plate.I,Experiment,Samples,A4,Default,Global,All Events,Global,Global,"22,430","100.000000%","100.000000%","0.000000","0.000000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,"457.755102"
